AGE;Interest;Bạn đi với;Visiting time;sex;Desired amount;địa điểm tham quan
19;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Gia đình;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
43;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon;Gia đình;3 ngày 2 đêm;Nữ;3,5 triệu;Cố đô Huế, Chùa Thiên Mụ, Cung An Định Huế
19;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon;Người yêu;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;Cố đô Huế, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
20;Di Tích Lịch Sử, Món ăn ngon;Người yêu;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế
22;Vẻ đẹp thiên, Di Tích Lịch Sử;Gia đình;3 ngày 2 đêm;Nam;3,5 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
22;Vẻ đẹp thiên, Di Tích Lịch Sử;Bạn Bè;4 ngày 3 đêm;Nữ;Từ 3 đến 5 Triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Chợ Đông Ba
20;Di Tích Lịch Sử;Người yêu;2 ngày 1 đêm;Nữ;3,5 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Vườn hoa Bách Vân, Chợ Đông Ba
20;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon;Một Mình;3 ngày 2 đêm;Nữ;Từ 5 đến 7 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
31;Di Tích Lịch Sử;Gia đình;2 ngày 1 đêm;Nữ;Từ 1 đến 3 triệu;Chùa Thiên Mụ, Đồi Vọng Cảnh
19;Di Tích Lịch Sử;Một Mình;2 ngày 1 đêm;Nam;Từ 3 đến 5 Triệu;Cố đô Huế, Chợ Đông Ba
20;Vẻ đẹp thiên;Gia đình;3 ngày 2 đêm;Nam;Từ 5 đến 7 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
22;Di Tích Lịch Sử, Món ăn ngon;Bạn Bè;2 ngày 1 đêm;Nữ;Từ 1 đến 3 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
23;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Một Mình;5 ngày 4 đêm;Nữ;Từ 3 đến 5 Triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Chợ Đông Ba
19;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Đồi Vọng Cảnh, Vườn hoa Bách Vân
24;Di Tích Lịch Sử, Món ăn ngon;Gia đình;2 ngày 1 đêm;Nữ;Từ 5 đến 7 triệu;Cố đô Huế, Cung An Định Huế
20;Di Tích Lịch Sử, Món ăn ngon;Bạn Bè;2 ngày 1 đêm;Nam;Từ 3 đến 5 Triệu;Cố đô Huế, Đồi Vọng Cảnh, Vườn hoa Bách Vân
21;Vẻ đẹp thiên, Di Tích Lịch Sử, Trải nghiệm mới;Một Mình;3 ngày 2 đêm;Nam;Từ 3 đến 5 Triệu;Cố đô Huế, Đồi Vọng Cảnh, Cung An Định Huế
42;Di Tích Lịch Sử, Món ăn ngon;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Chùa Thiên Mụ, Cung An Định Huế, Chợ Đông Ba
21;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Bạn Bè;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;Cố đô Huế, Chợ Đông Ba
19;Di Tích Lịch Sử;Gia đình;3 ngày 2 đêm;Nữ;Trên 10 triệu;Cố đô Huế, Đồi Vọng Cảnh, Vườn hoa Bách Vân
26;Di Tích Lịch Sử, Món ăn ngon;Gia đình;2 ngày 1 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Cầu Tràng Tiền, Làng Hương Xuân Thuỷ, Chùa Từ Hiếu, Lăng Minh Mạng
20;Di Tích Lịch Sử;Gia đình;3 ngày 2 đêm;Nữ;Từ 5 đến 7 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
21;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Gia đình;4 ngày 3 đêm;Nữ;Trên 10 triệu;Cố đô Huế, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân
20;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế
22;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Một Mình;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế
19;Di Tích Lịch Sử;Gia đình;5 ngày 4 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
22;Di Tích Lịch Sử;Bạn Bè;5 ngày 4 đêm;Nữ;Từ 5 đến 7 triệu;Cố đô Huế, Chùa Thiên Mụ, Chợ Đông Ba, Cầu Tràng Tiền, Làng Hương Xuân Thuỷ, Chùa Từ Hiếu, Lăng Minh Mạng
26;Di Tích Lịch Sử, Món ăn ngon;Gia đình;2 ngày 1 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Cầu Tràng Tiền, Làng Hương Xuân Thuỷ, Chùa Từ Hiếu, Lăng Minh Mạng
20;Di Tích Lịch Sử;Gia đình;3 ngày 2 đêm;Nữ;Từ 5 đến 7 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
21;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Gia đình;4 ngày 3 đêm;Nữ;Trên 10 triệu;Cố đô Huế, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân
20;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế
22;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Một Mình;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế
19;Di Tích Lịch Sử;Gia đình;5 ngày 4 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
22;Di Tích Lịch Sử;Bạn Bè;5 ngày 4 đêm;Nữ;Từ 5 đến 7 triệu;Cố đô Huế, Chùa Thiên Mụ, Chợ Đông Ba, Cầu Tràng Tiền, Làng Hương Xuân Thuỷ, Chùa Từ Hiếu, Lăng Minh Mạng
26;Di Tích Lịch Sử, Món ăn ngon;Gia đình;2 ngày 1 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Cầu Tràng Tiền, Làng Hương Xuân Thuỷ, Chùa Từ Hiếu, Lăng Minh Mạng
20;Di Tích Lịch Sử;Gia đình;3 ngày 2 đêm;Nữ;Từ 5 đến 7 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
21;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Gia đình;4 ngày 3 đêm;Nữ;Trên 10 triệu;Cố đô Huế, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân
20;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế
22;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Một Mình;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế
19;Di Tích Lịch Sử;Gia đình;5 ngày 4 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
22;Di Tích Lịch Sử;Bạn Bè;5 ngày 4 đêm;Nữ;Từ 5 đến 7 triệu;Cố đô Huế, Chùa Thiên Mụ, Chợ Đông Ba, Cầu Tràng Tiền, Làng Hương Xuân Thuỷ, Chùa Từ Hiếu, Lăng Minh Mạng
26;Di Tích Lịch Sử, Món ăn ngon;Gia đình;2 ngày 1 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Cầu Tràng Tiền, Làng Hương Xuân Thuỷ, Chùa Từ Hiếu, Lăng Minh Mạng
20;Di Tích Lịch Sử;Gia đình;3 ngày 2 đêm;Nữ;Từ 5 đến 7 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
21;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Gia đình;4 ngày 3 đêm;Nữ;Trên 10 triệu;Cố đô Huế, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân
20;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế
22;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Một Mình;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế
19;Di Tích Lịch Sử;Gia đình;5 ngày 4 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
22;Di Tích Lịch Sử;Bạn Bè;5 ngày 4 đêm;Nữ;Từ 5 đến 7 triệu;Cố đô Huế, Chùa Thiên Mụ, Chợ Đông Ba, Cầu Tràng Tiền, Làng Hương Xuân Thuỷ, Chùa Từ Hiếu, Lăng Minh Mạng
26;Di Tích Lịch Sử, Món ăn ngon;Gia đình;2 ngày 1 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Cầu Tràng Tiền, Làng Hương Xuân Thuỷ, Chùa Từ Hiếu, Lăng Minh Mạng
20;Di Tích Lịch Sử;Gia đình;3 ngày 2 đêm;Nữ;Từ 5 đến 7 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
21;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Gia đình;4 ngày 3 đêm;Nữ;Trên 10 triệu;Cố đô Huế, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân
20;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế
22;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Một Mình;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế
19;Di Tích Lịch Sử;Gia đình;5 ngày 4 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
22;Di Tích Lịch Sử;Bạn Bè;5 ngày 4 đêm;Nữ;Từ 5 đến 7 triệu;Cố đô Huế, Chùa Thiên Mụ, Chợ Đông Ba, Cầu Tràng Tiền, Làng Hương Xuân Thuỷ, Chùa Từ Hiếu, Lăng Minh Mạng
26;Di Tích Lịch Sử, Món ăn ngon;Gia đình;2 ngày 1 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Cầu Tràng Tiền, Làng Hương Xuân Thuỷ, Chùa Từ Hiếu, Lăng Minh Mạng
20;Di Tích Lịch Sử;Gia đình;3 ngày 2 đêm;Nữ;Từ 5 đến 7 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
21;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Gia đình;4 ngày 3 đêm;Nữ;Trên 10 triệu;Cố đô Huế, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân
20;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế
22;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Một Mình;3 ngày 2 đêm;Nữ;Từ 3 đến 5 Triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế
19;Di Tích Lịch Sử;Gia đình;5 ngày 4 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
22;Di Tích Lịch Sử;Bạn Bè;5 ngày 4 đêm;Nữ;Từ 5 đến 7 triệu;Cố đô Huế, Chùa Thiên Mụ, Chợ Đông Ba, Cầu Tràng Tiền, Làng Hương Xuân Thuỷ, Chùa Từ Hiếu, Lăng Minh Mạng
26;Di Tích Lịch Sử, Món ăn ngon;Gia đình;2 ngày 1 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Cầu Tràng Tiền, Làng Hương Xuân Thuỷ, Chùa Từ Hiếu, Lăng Minh Mạng
20;Di Tích Lịch Sử;Gia đình;3 ngày 2 đêm;Nữ;Từ 5 đến 7 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân, Chợ Đông Ba
21;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Gia đình;4 ngày 3 đêm;Nữ;Trên 10 triệu;Cố đô Huế, Đồi Vọng Cảnh, Cung An Định Huế, Vườn hoa Bách Vân
20;Vẻ đẹp thiên, Di Tích Lịch Sử, Món ăn ngon, Trải nghiệm mới;Gia đình;3 ngày 2 đêm;Nam;Từ 1 đến 3 triệu;Cố đô Huế, Chùa Thiên Mụ, Đồi Vọng Cảnh, Cung An Định Huế
